country,country_code,currency_code,reference_profile_id,reference_profile_description,harmonized_wage_point_intl_usd,ppp_factor_lcu_per_intl_usd,gross_monthly_local,gross_monthly_intl_usd,employee_contributions_monthly_local,employee_contributions_monthly_intl_usd,employer_contributions_monthly_local,employer_contributions_monthly_intl_usd,net_before_income_tax_monthly_local,net_before_income_tax_monthly_intl_usd,income_tax_or_withholding_tax_monthly_local,income_tax_or_withholding_tax_monthly_intl_usd,net_after_income_tax_monthly_local,net_after_income_tax_monthly_intl_usd,employer_cost_monthly_local,employer_cost_monthly_intl_usd,social_wedge_before_income_tax_rate,total_wedge_after_income_tax_rate,cost_to_net_before_income_tax_ratio,cost_to_net_after_income_tax_ratio,income_tax_modeled,aggregation_method,below_minimum_wage,national_minimum_wage_monthly_local,note,flcl_e_before_income_tax
Belgium,BE,EUR,belgium__standard_private_sector,Standard private-sector employee (only profile currently modeled for Belgium).,2500.0,0.752163,1880.41,2500.0,245.77,326.75,0.0,0.0,1634.64,2173.25,57.09,75.9,1577.55,2097.35,1880.41,2500.0,0.1307,0.16106,1.150351,1.191981,True,single_reference_profile,True,2189.81,,86.93
Switzerland,CH,CHF,switzerland__population_weighted_average_26_cantons__single_no_child_standard_lpp,"Population-weighted average across all 26 cantons, tariff A0N (single, no child, no church tax where available), standardized LPP/BVG and accident insurance assumptions.",2500.0,1.107209,2768.02,2500.0,238.52,215.42,219.14,197.92,2529.5,2284.57,69.56,62.82,2459.94,2221.75,2987.16,2697.92,0.153209,0.176494,1.180929,1.214321,True,population_weighted_average_26_cantons,True,3000.0,"Withholding tax and net figures are a population-weighted average across all 26 cantons (BFS 2024 permanent resident population), not a single reference canton.",84.67893784841657
Netherlands,NL,EUR,netherlands__standard_permanent_contract,"Permanent contract (WW low rate), large employer (Aof high rate), single, childless, below AOW age, standard loonheffingskorting (main/only job).",2500.0,0.74195,1854.88,2500.0,0.0,0.0,342.97,462.25,1854.88,2500.0,54.54,73.51,1800.34,2426.49,2197.84,2962.25,0.156047,0.180862,1.1849,1.220796,True,single_reference_profile,True,2338.44,"The Netherlands has no separate employee social-security contribution: AOW/Anw/Wlz national-insurance premiums are bundled into the Box 1 wage-tax rate. The figure shown as income tax is the full 'loonheffing' (income tax + national insurance combined); employee_contributions is 0 by construction, not because no social insurance is paid.",84.39530762089628
United Kingdom,UK,GBP,uk__population_weighted_average_ruk_scotland,"Population-weighted average of rUK (England, Wales, Northern Ireland) and Scotland income-tax regimes, standard employee, full-time, standard tax code, auto-enrolled in a workplace pension at the statutory minimum rates.",2500.0,0.682739,1706.85,2500.0,112.09,164.18,229.14,335.62,1594.76,2335.82,119.74,175.38,1475.02,2160.45,1935.99,2835.62,0.176256,0.238104,1.21397,1.312515,True,population_weighted_average_ruk_scotland,True,2065.38,"Employee/employer contributions include Class 1 National Insurance and the statutory-minimum automatic-enrolment workplace pension (employee 5%, employer 3% of qualifying earnings), not income tax alone. Income tax is a population-weighted average of rUK and Scottish devolved bands (ONS/NRS mid-2024 population estimates).",82.37422503720528
Ireland,IE,EUR,ireland__standard_employee,"Standard, single, childless employee, full-time, PRSI Class A, January-September 2026 rates.",2500.0,0.88195,2204.88,2500.0,92.6,104.99,248.04,281.24,2112.28,2395.01,136.72,155.02,1975.56,2239.99,2452.91,2781.24,0.138872,0.194609,1.161267,1.241633,True,single_reference_profile,True,2391.35,"The income-tax figure shown bundles PAYE income tax and the Universal Social Charge (USC), since USC is a separate tax on income rather than a social contribution; employee/employer contributions are PRSI Class A only (January-September 2026 rates).",86.11302872100217
Spain,ES,EUR,spain__population_weighted_average_16_regions,"Population-weighted average across 16 comunidades autonomas (Madrid, Andalucia, Aragon, Asturias, Baleares, Canarias, Cantabria, Castilla-La Mancha, Castilla y Leon, Cataluna, Extremadura, Galicia, Murcia, La Rioja, Comunidad Valenciana, Ceuta/Melilla), standard single childless employee, Seguridad Social Regimen General.",2500.0,0.588481,1471.2,2500.0,95.63,162.5,465.63,791.24,1375.57,2337.5,24.06,40.89,1351.51,2296.6,1936.83,3291.24,0.289782,0.302207,1.408019,1.43309,True,population_weighted_average_16_regions,False,1424.5,"Income tax (IRPF) is a population-weighted average across 16 comunidades autonomas (INE 1 January 2025 population), mirroring how Switzerland's cantons are aggregated. Navarra and Pais Vasco are excluded: separate 'foral' tax systems, out of scope. Employee/employer contributions are Seguridad Social Regimen General only, national and identical across all regions.",71.02186409985295
France,FR,EUR,non_cadre__standard__lt50__standard__full_time,"Non-executive employee, outside Alsace-Moselle, firm with fewer than 50 employees, standard AT/MP rate, full-time. Income tax: single, childless taxpayer (1 part), progressive bareme.",3000.0,0.716934,2150.8,3000.0,470.17,655.81,383.18,534.48,1680.63,2344.19,68.15,95.06,1612.47,2249.13,2533.98,3534.47,0.336765,0.36366,1.50776,1.571488,True,single_reference_profile,False,1867.02,"Income tax shown is the actual tax due by a single, childless reference taxpayer (1 part de quotient familial), computed via the true progressive income-tax bareme (marginal brackets) on the annualized net-taxable salary after the standard 10% deduction; see methodology notes.",66.32366380249373
Germany,DE,EUR,germany__public_health__childless__outside_saxony,"Public health insurance, childless, outside Saxony.",3000.0,0.701547,2104.64,3000.0,457.76,652.5,445.13,634.5,1646.88,2347.5,108.33,154.42,1538.55,2193.08,2549.77,3634.5,0.354106,0.396593,1.548243,1.657255,True,single_reference_profile,True,2409.33,,64.589352042922
Belgium,BE,EUR,belgium__standard_private_sector,Standard private-sector employee (only profile currently modeled for Belgium).,3000.0,0.752163,2256.49,3000.0,294.92,392.1,197.15,262.11,1961.57,2607.9,150.56,200.17,1811.01,2407.73,2453.64,3262.11,0.200549,0.261911,1.250858,1.35485,True,single_reference_profile,False,2189.81,,79.9451888501614
Switzerland,CH,CHF,switzerland__population_weighted_average_26_cantons__single_no_child_standard_lpp,"Population-weighted average across all 26 cantons, tariff A0N (single, no child, no church tax where available), standardized LPP/BVG and accident insurance assumptions.",3000.0,1.107209,3321.63,3000.0,308.28,278.43,285.02,257.42,3013.35,2721.57,132.1,119.31,2881.25,2602.27,3606.65,3257.42,0.164502,0.201128,1.196891,1.251765,True,population_weighted_average_26_cantons,False,3000.0,"Withholding tax and net figures are a population-weighted average across all 26 cantons (BFS 2024 permanent resident population), not a single reference canton.",83.5498646167826
Netherlands,NL,EUR,netherlands__standard_permanent_contract,"Permanent contract (WW low rate), large employer (Aof high rate), single, childless, below AOW age, standard loonheffingskorting (main/only job).",3000.0,0.74195,2225.85,3000.0,0.0,0.0,411.56,554.7,2225.85,3000.0,93.09,125.47,2132.76,2874.53,2637.41,3554.7,0.156047,0.191343,1.1849,1.236618,True,single_reference_profile,True,2338.44,"The Netherlands has no separate employee social-security contribution: AOW/Anw/Wlz national-insurance premiums are bundled into the Box 1 wage-tax rate. The figure shown as income tax is the full 'loonheffing' (income tax + national insurance combined); employee_contributions is 0 by construction, not because no social insurance is paid.",84.39530762089628
United Kingdom,UK,GBP,uk__population_weighted_average_ruk_scotland,"Population-weighted average of rUK (England, Wales, Northern Ireland) and Scotland income-tax regimes, standard employee, full-time, standard tax code, auto-enrolled in a workplace pension at the statutory minimum rates.",3000.0,0.682739,2048.22,3000.0,156.47,229.18,290.58,425.61,1891.75,2770.82,184.6,270.38,1707.15,2500.44,2338.8,3425.61,0.191145,0.270073,1.236316,1.37,True,population_weighted_average_ruk_scotland,True,2065.38,"Employee/employer contributions include Class 1 National Insurance and the statutory-minimum automatic-enrolment workplace pension (employee 5%, employer 3% of qualifying earnings), not income tax alone. Income tax is a population-weighted average of rUK and Scottish devolved bands (ONS/NRS mid-2024 population estimates).",80.88544813916353
Ireland,IE,EUR,ireland__standard_employee,"Standard, single, childless employee, full-time, PRSI Class A, January-September 2026 rates.",3000.0,0.88195,2645.85,3000.0,111.11,125.98,297.66,337.5,2534.74,2874.02,236.28,267.91,2298.46,2606.11,2943.51,3337.5,0.138872,0.219143,1.161267,1.280644,True,single_reference_profile,False,2391.35,"The income-tax figure shown bundles PAYE income tax and the Universal Social Charge (USC), since USC is a separate tax on income rather than a social contribution; employee/employer contributions are PRSI Class A only (January-September 2026 rates).",86.11295880149812
Spain,ES,EUR,spain__population_weighted_average_16_regions,"Population-weighted average across 16 comunidades autonomas (Madrid, Andalucia, Aragon, Asturias, Baleares, Canarias, Cantabria, Castilla-La Mancha, Castilla y Leon, Cataluna, Extremadura, Galicia, Murcia, La Rioja, Comunidad Valenciana, Ceuta/Melilla), standard single childless employee, Seguridad Social Regimen General.",3000.0,0.588481,1765.44,3000.0,114.75,194.99,558.76,949.5,1650.69,2805.01,167.22,284.15,1483.47,2520.85,2324.2,3949.5,0.289781,0.361728,1.408017,1.56673,True,population_weighted_average_16_regions,False,1424.5,"Income tax (IRPF) is a population-weighted average across 16 comunidades autonomas (INE 1 January 2025 population), mirroring how Switzerland's cantons are aggregated. Navarra and Pais Vasco are excluded: separate 'foral' tax systems, out of scope. Employee/employer contributions are Seguridad Social Regimen General only, national and identical across all regions.",71.02190150651981
France,FR,EUR,non_cadre__standard__lt50__standard__full_time,"Non-executive employee, outside Alsace-Moselle, firm with fewer than 50 employees, standard AT/MP rate, full-time. Income tax: single, childless taxpayer (1 part), progressive bareme.",3500.0,0.716934,2509.27,3500.0,544.88,760.01,669.55,933.91,1964.39,2739.99,97.26,135.66,1867.13,2604.33,3178.82,4433.91,0.382037,0.412633,1.618221,1.702512,True,single_reference_profile,False,1867.02,"Income tax shown is the actual tax due by a single, childless reference taxpayer (1 part de quotient familial), computed via the true progressive income-tax bareme (marginal brackets) on the annualized net-taxable salary after the standard 10% deduction; see methodology notes.",61.796247555769064
Germany,DE,EUR,germany__public_health__childless__outside_saxony,"Public health insurance, childless, outside Saxony.",3500.0,0.701547,2455.41,3500.0,534.05,761.25,519.32,740.25,1921.36,2738.75,178.16,253.95,1743.2,2484.8,2974.73,4240.25,0.354106,0.413998,1.548243,1.706477,True,single_reference_profile,False,2409.33,,64.589352042922
Belgium,BE,EUR,belgium__standard_private_sector,Standard private-sector employee (only profile currently modeled for Belgium).,3500.0,0.752163,2632.57,3500.0,344.08,457.45,404.0,537.11,2288.49,3042.55,290.48,386.19,1998.01,2656.36,3036.57,4037.11,0.246355,0.342016,1.326885,1.519793,True,single_reference_profile,False,2189.81,,75.36455533785306
Switzerland,CH,CHF,switzerland__population_weighted_average_26_cantons__single_no_child_standard_lpp,"Population-weighted average across all 26 cantons, tariff A0N (single, no child, no church tax where available), standardized LPP/BVG and accident insurance assumptions.",3500.0,1.107209,3875.23,3500.0,378.03,341.43,350.9,316.92,3497.2,3158.57,209.99,189.65,3287.21,2968.92,4226.13,3816.92,0.172482,0.22217,1.208432,1.285627,True,population_weighted_average_26_cantons,False,3000.0,"Withholding tax and net figures are a population-weighted average across all 26 cantons (BFS 2024 permanent resident population), not a single reference canton.",82.75179988053195
Netherlands,NL,EUR,netherlands__standard_permanent_contract,"Permanent contract (WW low rate), large employer (Aof high rate), single, childless, below AOW age, standard loonheffingskorting (main/only job).",3500.0,0.74195,2596.82,3500.0,0.0,0.0,480.15,647.15,2596.82,3500.0,226.08,304.71,2370.74,3195.29,3076.98,4147.15,0.156047,0.229522,1.1849,1.297895,True,single_reference_profile,False,2338.44,"The Netherlands has no separate employee social-security contribution: AOW/Anw/Wlz national-insurance premiums are bundled into the Box 1 wage-tax rate. The figure shown as income tax is the full 'loonheffing' (income tax + national insurance combined); employee_contributions is 0 by construction, not because no social insurance is paid.",84.39530762089629
United Kingdom,UK,GBP,uk__population_weighted_average_ruk_scotland,"Population-weighted average of rUK (England, Wales, Northern Ireland) and Scotland income-tax regimes, standard employee, full-time, standard tax code, auto-enrolled in a workplace pension at the statutory minimum rates.",3500.0,0.682739,2389.59,3500.0,200.85,294.18,352.03,515.61,2188.74,3205.82,249.46,365.38,1939.28,2840.44,2741.62,4015.61,0.201662,0.292651,1.252602,1.413729,True,population_weighted_average_ruk_scotland,False,2065.38,"Employee/employer contributions include Class 1 National Insurance and the statutory-minimum automatic-enrolment workplace pension (employee 5%, employer 3% of qualifying earnings), not income tax alone. Income tax is a population-weighted average of rUK and Scottish devolved bands (ONS/NRS mid-2024 population estimates).",79.8339480178603
Ireland,IE,EUR,ireland__standard_employee,"Standard, single, childless employee, full-time, PRSI Class A, January-September 2026 rates.",3500.0,0.88195,3086.82,3500.0,129.65,147.0,347.27,393.75,2957.18,3353.0,337.7,382.9,2619.47,2970.09,3434.09,3893.75,0.138878,0.237215,1.161276,1.310986,True,single_reference_profile,False,2391.35,"The income-tax figure shown bundles PAYE income tax and the Universal Social Charge (USC), since USC is a separate tax on income rather than a social contribution; employee/employer contributions are PRSI Class A only (January-September 2026 rates).",86.11235955056179
Spain,ES,EUR,spain__population_weighted_average_16_regions,"Population-weighted average across 16 comunidades autonomas (Madrid, Andalucia, Aragon, Asturias, Baleares, Canarias, Cantabria, Castilla-La Mancha, Castilla y Leon, Cataluna, Extremadura, Galicia, Murcia, La Rioja, Comunidad Valenciana, Ceuta/Melilla), standard single childless employee, Seguridad Social Regimen General.",3500.0,0.588481,2059.68,3500.0,133.88,227.5,651.89,1107.75,1925.8,3272.5,279.93,475.69,1645.87,2796.81,2711.57,4607.75,0.289784,0.39302,1.408022,1.6475,True,population_weighted_average_16_regions,False,1424.5,"Income tax (IRPF) is a population-weighted average across 16 comunidades autonomas (INE 1 January 2025 population), mirroring how Switzerland's cantons are aggregated. Navarra and Pais Vasco are excluded: separate 'foral' tax systems, out of scope. Employee/employer contributions are Seguridad Social Regimen General only, national and identical across all regions.",71.02164830991265
France,FR,EUR,non_cadre__standard__lt50__standard__full_time,"Non-executive employee, outside Alsace-Moselle, firm with fewer than 50 employees, standard AT/MP rate, full-time. Income tax: single, childless taxpayer (1 part), progressive bareme.",4000.0,0.716934,2867.74,4000.01,619.58,864.21,920.93,1284.54,2248.16,3135.79,126.36,176.25,2121.8,2959.54,3788.67,5284.54,0.406611,0.439963,1.685234,1.785596,True,single_reference_profile,False,1867.02,"Income tax shown is the actual tax due by a single, childless reference taxpayer (1 part de quotient familial), computed via the true progressive income-tax bareme (marginal brackets) on the annualized net-taxable salary after the standard 10% deduction; see methodology notes.",59.33893962388401
Germany,DE,EUR,germany__public_health__childless__outside_saxony,"Public health insurance, childless, outside Saxony.",4000.0,0.701547,2806.19,4000.0,610.35,870.0,593.51,846.0,2195.84,3130.0,251.25,358.14,1944.59,2771.86,3399.7,4846.0,0.354106,0.42801,1.548243,1.748283,True,single_reference_profile,False,2409.33,,64.589352042922
Belgium,BE,EUR,belgium__standard_private_sector,Standard private-sector employee (only profile currently modeled for Belgium).,4000.0,0.752163,3008.65,4000.0,393.23,522.8,610.84,812.11,2615.42,3477.2,430.41,572.23,2185.01,2904.97,3619.49,4812.11,0.277407,0.396321,1.383905,1.65651,True,single_reference_profile,False,2189.81,,72.25936231715401
Switzerland,CH,CHF,switzerland__population_weighted_average_26_cantons__single_no_child_standard_lpp,"Population-weighted average across all 26 cantons, tariff A0N (single, no child, no church tax where available), standardized LPP/BVG and accident insurance assumptions.",4000.0,1.107209,4428.84,4000.0,447.78,404.42,416.78,376.42,3981.06,3595.58,298.05,269.19,3683.01,3326.39,4845.62,4376.43,0.178421,0.239929,1.217168,1.315667,True,population_weighted_average_26_cantons,False,3000.0,"Withholding tax and net figures are a population-weighted average across all 26 cantons (BFS 2024 permanent resident population), not a single reference canton.",82.15783184010711
Netherlands,NL,EUR,netherlands__standard_permanent_contract,"Permanent contract (WW low rate), large employer (Aof high rate), single, childless, below AOW age, standard loonheffingskorting (main/only job).",4000.0,0.74195,2967.8,4000.0,0.0,0.0,548.75,739.6,2967.8,4000.0,375.2,505.69,2592.6,3494.31,3516.55,4739.6,0.156047,0.262743,1.1849,1.356378,True,single_reference_profile,False,2338.44,"The Netherlands has no separate employee social-security contribution: AOW/Anw/Wlz national-insurance premiums are bundled into the Box 1 wage-tax rate. The figure shown as income tax is the full 'loonheffing' (income tax + national insurance combined); employee_contributions is 0 by construction, not because no social insurance is paid.",84.39530762089628
United Kingdom,UK,GBP,uk__population_weighted_average_ruk_scotland,"Population-weighted average of rUK (England, Wales, Northern Ireland) and Scotland income-tax regimes, standard employee, full-time, standard tax code, auto-enrolled in a workplace pension at the statutory minimum rates.",4000.0,0.682739,2730.96,4000.0,245.23,359.19,413.47,605.6,2485.73,3640.81,314.44,460.56,2171.28,3180.25,3144.43,4605.6,0.209482,0.309482,1.264993,1.448189,True,population_weighted_average_ruk_scotland,False,2065.38,"Employee/employer contributions include Class 1 National Insurance and the statutory-minimum automatic-enrolment workplace pension (employee 5%, employer 3% of qualifying earnings), not income tax alone. Income tax is a population-weighted average of rUK and Scottish devolved bands (ONS/NRS mid-2024 population estimates).",79.05180649643911
Ireland,IE,EUR,ireland__standard_employee,"Standard, single, childless employee, full-time, PRSI Class A, January-September 2026 rates.",4000.0,0.88195,3527.8,4000.0,148.16,167.99,396.89,450.01,3379.64,3832.01,439.13,497.91,2940.51,3334.1,3924.69,4450.01,0.138877,0.250766,1.161275,1.334697,True,single_reference_profile,False,2391.35,"The income-tax figure shown bundles PAYE income tax and the Universal Social Charge (USC), since USC is a separate tax on income rather than a social contribution; employee/employer contributions are PRSI Class A only (January-September 2026 rates).",86.11239075867245
Spain,ES,EUR,spain__population_weighted_average_16_regions,"Population-weighted average across 16 comunidades autonomas (Madrid, Andalucia, Aragon, Asturias, Baleares, Canarias, Cantabria, Castilla-La Mancha, Castilla y Leon, Cataluna, Extremadura, Galicia, Murcia, La Rioja, Comunidad Valenciana, Ceuta/Melilla), standard single childless employee, Seguridad Social Regimen General.",4000.0,0.588481,2353.92,4000.0,153.0,259.99,745.02,1266.01,2200.92,3740.01,360.75,613.01,1840.18,3126.99,3098.94,5266.01,0.289783,0.406192,1.40802,1.684047,True,population_weighted_average_16_regions,False,1424.5,"Income tax (IRPF) is a population-weighted average across 16 comunidades autonomas (INE 1 January 2025 population), mirroring how Switzerland's cantons are aggregated. Navarra and Pais Vasco are excluded: separate 'foral' tax systems, out of scope. Employee/employer contributions are Seguridad Social Regimen General only, national and identical across all regions.",71.02170333896062
France,FR,EUR,non_cadre__standard__lt50__standard__full_time,"Non-executive employee, outside Alsace-Moselle, firm with fewer than 50 employees, standard AT/MP rate, full-time. Income tax: single, childless taxpayer (1 part), progressive bareme.",4500.0,0.716934,3226.2,4500.0,694.29,968.41,1147.43,1600.47,2531.91,3531.58,155.46,216.85,2376.45,3314.74,4373.63,6100.46,0.421096,0.456641,1.727401,1.840405,True,single_reference_profile,False,1867.02,"Income tax shown is the actual tax due by a single, childless reference taxpayer (1 part de quotient familial), computed via the true progressive income-tax bareme (marginal brackets) on the annualized net-taxable salary after the standard 10% deduction; see methodology notes.",57.89038859364704
Germany,DE,EUR,germany__public_health__childless__outside_saxony,"Public health insurance, childless, outside Saxony.",4500.0,0.701547,3156.96,4500.0,686.64,978.75,667.7,951.75,2470.32,3521.25,327.66,467.05,2142.66,3054.2,3824.66,5451.75,0.354106,0.439777,1.548243,1.785003,True,single_reference_profile,False,2409.33,,64.589352042922
Belgium,BE,EUR,belgium__standard_private_sector,Standard private-sector employee (only profile currently modeled for Belgium).,4500.0,0.752163,3384.73,4500.0,442.38,588.15,785.31,1044.07,2942.35,3911.85,570.34,758.27,2372.01,3153.58,4170.05,5544.07,0.294409,0.431179,1.417251,1.758023,True,single_reference_profile,False,2189.81,,70.55917403640287
Switzerland,CH,CHF,switzerland__population_weighted_average_26_cantons__single_no_child_standard_lpp,"Population-weighted average across all 26 cantons, tariff A0N (single, no child, no church tax where available), standardized LPP/BVG and accident insurance assumptions.",4500.0,1.107209,4982.44,4500.0,517.54,467.43,482.66,435.92,4464.9,4032.57,384.88,347.62,4080.02,3684.96,5465.1,4935.92,0.183016,0.253442,1.224014,1.33948,True,population_weighted_average_26_cantons,False,3000.0,"Withholding tax and net figures are a population-weighted average across all 26 cantons (BFS 2024 permanent resident population), not a single reference canton.",81.69844730060454
Netherlands,NL,EUR,netherlands__standard_permanent_contract,"Permanent contract (WW low rate), large employer (Aof high rate), single, childless, below AOW age, standard loonheffingskorting (main/only job).",4500.0,0.74195,3338.78,4500.0,0.0,0.0,617.34,832.05,3338.78,4500.0,526.11,709.09,2812.66,3790.91,3956.11,5332.05,0.156047,0.289033,1.1849,1.406536,True,single_reference_profile,False,2338.44,"The Netherlands has no separate employee social-security contribution: AOW/Anw/Wlz national-insurance premiums are bundled into the Box 1 wage-tax rate. The figure shown as income tax is the full 'loonheffing' (income tax + national insurance combined); employee_contributions is 0 by construction, not because no social insurance is paid.",84.39530762089628
United Kingdom,UK,GBP,uk__population_weighted_average_ruk_scotland,"Population-weighted average of rUK (England, Wales, Northern Ireland) and Scotland income-tax regimes, standard employee, full-time, standard tax code, auto-enrolled in a workplace pension at the statutory minimum rates.",4500.0,0.682739,3072.33,4500.0,289.61,424.19,474.92,695.61,2782.72,4075.81,379.56,555.94,2403.15,3519.87,3547.25,5195.61,0.215528,0.32253,1.274742,1.47608,True,population_weighted_average_ruk_scotland,False,2065.38,"Employee/employer contributions include Class 1 National Insurance and the statutory-minimum automatic-enrolment workplace pension (employee 5%, employer 3% of qualifying earnings), not income tax alone. Income tax is a population-weighted average of rUK and Scottish devolved bands (ONS/NRS mid-2024 population estimates).",78.44718906923346
